Area Code (M49),Area,Year,avg_income_small,avg_income_large,small_scale_productivity,large_scale_productivity,undernourished_people,food_insecurity_people,local_breed,agriculture_gdp,agriculture_government,agriculture_orientation_government,ifpa_food_cpi
24,Angola,2013,,,,,3.5,,18.0,6.51,1.12,0.17,-0.7
24,Angola,2014,,,,,3.5,,18.0,7.55,0.74,0.1,-1.73
24,Angola,2015,,,,,3.9,,18.0,9.12,0.7,0.08,-1.11
24,Angola,2016,,,,,4.4,,18.0,9.83,0.65,0.07,0.53
24,Angola,2017,,,,,4.6,10926.1,18.0,10.02,0.5,0.05,-1.6
24,Angola,2018,,,,,4.9,11946.0,18.0,8.61,0.41,0.05,-1.63
24,Angola,2019,,,,,5.8,12994.1,18.0,7.88,0.92,0.12,-0.05
24,Angola,2020,,,,,6.9,14215.6,18.0,9.95,0.54,0.05,1.46
24,Angola,2021,,,,,7.6,14855.3,18.0,11.49,0.73,0.06,1.37
24,Angola,2022,,,,,8.3,15517.800000000001,18.0,13.65,0.84,0.06,-0.05
24,Angola,2023,,,,,,,18.0,,,,-0.38
24,Angola,2024,,,,,,,18.0,,,,
28,Antigua and Barbuda,2000,,,,,,,4.0,,,,
28,Antigua and Barbuda,2001,,,,,,,4.0,1.67,,,
28,Antigua and Barbuda,2002,,,,,,,4.0,1.76,,,
28,Antigua and Barbuda,2003,,,,,,,4.0,1.78,,,
28,Antigua and Barbuda,2004,,,,,,,4.0,1.65,,,
28,Antigua and Barbuda,2005,,,,,,,4.0,1.77,,,
28,Antigua and Barbuda,2006,,,,,,,8.0,1.66,,,
28,Antigua and Barbuda,2007,,,,,,,8.0,1.62,,,
28,Antigua and Barbuda,2008,,,,,,,8.0,1.55,,,
28,Antigua and Barbuda,2009,,,,,,,8.0,1.49,,,
28,Antigua and Barbuda,2010,,,,,,,8.0,1.63,,,0.16
28,Antigua and Barbuda,2011,,,,,,,8.0,1.93,,,-0.81
28,Antigua and Barbuda,2012,,,,,,,8.0,1.9,,,-0.53
28,Antigua and Barbuda,2013,,,,,,,8.0,2.02,,,-0.25
28,Antigua and Barbuda,2014,,,,,,,8.0,1.66,0.97,0.59,-0.73
28,Antigua and Barbuda,2015,,,,,,,8.0,1.61,0.71,0.44,-0.09
28,Antigua and Barbuda,2016,,,,,,,8.0,1.57,1.57,1.0,-0.49
28,Antigua and Barbuda,2017,,,,,,,8.0,1.79,1.63,0.91,-0.64
28,Antigua and Barbuda,2018,,,,,,,8.0,1.74,1.49,0.86,0.4
28,Antigua and Barbuda,2019,,,,,,,8.0,1.73,1.23,0.71,-0.46
28,Antigua and Barbuda,2020,,,,,,,8.0,2.21,2.72,1.23,-0.11
28,Antigua and Barbuda,2021,,,,,,,8.0,2.25,1.61,0.72,-0.34
28,Antigua and Barbuda,2022,,,,,,,8.0,2.1,1.43,0.68,0.74
28,Antigua and Barbuda,2023,,,,,,,8.0,,,,0.21
28,Antigua and Barbuda,2024,,,,,,,8.0,,,,
31,Azerbaijan,2000,,,,,,,2.0,,,,
31,Azerbaijan,2001,,,,,1.4,,2.0,14.84,,,
31,Azerbaijan,2002,,,,,1.1,,2.0,13.95,,,
31,Azerbaijan,2003,,,,,0.9,,2.0,12.43,,,
31,Azerbaijan,2004,,,,,0.6,,2.0,10.99,,,
31,Azerbaijan,2005,,,,,0.4,,2.0,9.09,,,
31,Azerbaijan,2006,,,,,0.2,,27.0,7.09,,,
31,Azerbaijan,2007,,,,,,,27.0,6.7,,,
31,Azerbaijan,2008,,,,,,,27.0,5.6,2.53,0.45,
31,Azerbaijan,2009,,,,,,,27.0,6.12,3.43,0.56,
31,Azerbaijan,2010,,,,,,,27.0,5.52,2.78,0.5,0.07
31,Azerbaijan,2011,,,,,,,27.0,5.08,2.67,0.53,0.24
31,Azerbaijan,2012,,,,,,,27.0,5.14,2.45,0.48,-0.53
31,Azerbaijan,2013,,,,,,,27.0,5.37,2.38,0.44,-0.48
31,Azerbaijan,2014,,,,,,,27.0,5.32,2.44,0.46,-0.35
31,Azerbaijan,2015,,,,,,438.1,27.0,6.18,2.79,0.45,0.01
31,Azerbaijan,2016,,,,,,577.3,27.0,5.6,3.06,0.55,0.51
31,Azerbaijan,2017,,,,,,649.0,27.0,5.61,2.48,0.44,1.06
31,Azerbaijan,2018,,,,,,738.5,27.0,5.21,3.47,0.67,-0.64
31,Azerbaijan,2019,,,,,,684.1,27.0,5.7,2.87,0.5,0.06
31,Azerbaijan,2020,,,,,,737.8,28.0,6.74,3.03,0.45,0.28
31,Azerbaijan,2021,,,,,,793.1,28.0,5.88,1.24,0.21,0.39
31,Azerbaijan,2022,,,,,,971.5999999999999,54.0,4.89,,,1.68
31,Azerbaijan,2023,,,,,,,54.0,,,,-0.41
31,Azerbaijan,2024,,,,,,,54.0,,,,
32,Argentina,2000,,,,,,,8.0,,,,
32,Argentina,2001,,,,,1.1,,8.0,3.96,0.93,0.23,
32,Argentina,2002,,,,,1.4,,8.0,8.85,0.73,0.08,
32,Argentina,2003,,,,,1.7,,8.0,8.95,0.58,0.06,
32,Argentina,2004,,,,,1.5,,8.0,8.36,0.69,0.08,
32,Argentina,2005,,,,,1.4,,8.0,7.94,0.56,0.07,
32,Argentina,2006,,,,,1.3,,24.0,6.94,0.65,0.09,
32,Argentina,2007,,,,,1.3,,24.0,7.45,1.99,0.27,
32,Argentina,2008,,,,,1.3,,24.0,7.32,3.66,0.5,
32,Argentina,2009,,,,,1.4,,24.0,5.27,2.33,0.44,
32,Argentina,2010,,,,,1.5,,24.0,7.13,2.49,0.35,2.06
32,Argentina,2011,,,,,1.5,,24.0,7.0,1.16,0.17,-0.34
32,Argentina,2012,,,,,1.4,,24.0,5.78,0.98,0.17,0.02
32,Argentina,2013,,,,,1.3,,24.0,6.05,0.99,0.16,-0.74
32,Argentina,2014,,,,,1.2,,24.0,6.71,0.68,0.1,-0.2
32,Argentina,2015,,,,,1.2,6270.8,24.0,5.16,0.75,0.15,-0.76
32,Argentina,2016,,,,,1.3,8569.9,24.0,6.26,0.53,0.08,0.16
32,Argentina,2017,,,,,1.5,10787.2,24.0,5.23,0.58,0.11,-0.27
32,Argentina,2018,,,,,1.6,12085.5,24.0,5.22,0.41,0.08,0.59
32,Argentina,2019,,,,,1.6,12223.599999999999,24.0,6.06,0.34,0.06,1.48
32,Argentina,2020,,,,,1.5,12741.900000000001,24.0,6.79,0.42,0.06,1.5
32,Argentina,2021,,,,,1.5,12834.3,24.0,6.02,0.4,0.07,0.09
32,Argentina,2022,,,,,1.4,12694.400000000001,24.0,5.44,0.66,0.12,0.23
32,Argentina,2023,,,,,,,33.0,,,,1.67
32,Argentina,2024,,,,,,,33.0,,,,
36,Australia,2000,,,,,,,13.0,,,,
36,Australia,2001,,,,,,,13.0,3.95,1.49,0.38,
36,Australia,2002,,,,,,,12.0,2.89,1.45,0.5,
36,Australia,2003,,,,,,,9.0,3.06,1.47,0.48,
36,Australia,2004,,,,,,,10.0,2.89,1.38,0.48,
36,Australia,2005,,,,,,,9.0,2.73,1.14,0.42,
36,Australia,2006,,,,,,,54.0,2.21,1.42,0.64,
36,Australia,2007,,,,,,,54.0,2.34,1.41,0.6,
36,Australia,2008,,,,,,,54.0,2.3,1.62,0.7,
36,Australia,2009,,,,,,,54.0,2.2,1.2,0.54,
36,Australia,2010,,,,,,,54.0,2.29,1.14,0.5,-1.12
36,Australia,2011,,,,,,,54.0,2.27,1.02,0.45,0.54
36,Australia,2012,,,,,,,54.0,2.29,0.91,0.4,-1.56
36,Australia,2013,,,,,,,54.0,2.22,0.79,0.36,-0.47
36,Australia,2014,,,,,,,53.0,2.38,0.71,0.3,0.37
36,Australia,2015,,,,,,2084.4,53.0,2.4,0.64,0.27,-0.07
36,Australia,2016,,,,,,2319.0,53.0,2.7,0.67,0.25,0.16
36,Australia,2017,,,,,,2540.0,53.0,2.46,0.65,0.26,-0.42
36,Australia,2018,,,,,,2702.0,53.0,2.12,0.63,0.3,-0.11
36,Australia,2019,,,,,,2536.1,53.0,2.01,0.64,0.32,0.74
36,Australia,2020,,,,,,2497.1,53.0,2.31,0.49,0.21,1.56
36,Australia,2021,,,,,,2415.8,63.0,3.17,0.59,0.19,-0.56
36,Australia,2022,,,,,,2763.7,74.0,4.36,0.59,0.14,0.42
36,Australia,2023,,,,,,,74.0,,,,0.36
36,Australia,2024,,,,,,,74.0,,,,
40,Austria,2000,,,,,,,14.0,,,,
40,Austria,2001,,,,,,,14.0,1.67,1.15,0.69,
40,Austria,2002,,,,,,,13.0,1.56,1.25,0.8,
40,Austria,2003,,,,,,,13.0,1.49,1.26,0.84,
40,Austria,2004,,,,,,,17.0,1.48,1.08,0.73,
40,Austria,2005,,,,,,,18.0,1.26,1.11,0.88,
40,Austria,2006,,,,,,,22.0,1.3,1.04,0.8,
40,Austria,2007,,,,,,,22.0,1.42,0.93,0.66,
40,Austria,2008,,,,,,,22.0,1.34,0.95,0.71,
40,Austria,2009,,,,,,,22.0,1.15,0.91,0.8,
40,Austria,2010,,,110.4,371.65,,,22.0,1.27,0.87,0.69,-0.8
40,Austria,2011,,,,,,,22.0,1.4,0.83,0.59,0.44
40,Austria,2012,,,,,,,22.0,1.35,0.8,0.59,0.28
40,Austria,2013,,,109.26,345.76,,,22.0,1.25,0.81,0.65,0.52
40,Austria,2014,,,,,,,22.0,1.2,0.76,0.63,-0.33
40,Austria,2015,,,,,,412.79999999999995,22.0,1.13,0.71,0.62,-0.48
40,Austria,2016,,,123.64,390.63,,387.3,22.0,1.11,0.69,0.62,-0.42
40,Austria,2017,,,,,,334.79999999999995,22.0,1.21,0.7,0.58,0.08
40,Austria,2018,,,,,,269.9,22.0,1.13,0.7,0.62,-0.81
40,Austria,2019,,,,,,,22.0,1.05,0.68,0.65,-0.56
40,Austria,2020,,,81.0,355.78,,255.5,22.0,1.09,0.69,0.64,0.82
40,Austria,2021,,,,,,330.5,22.0,1.21,0.69,0.57,-1.77
40,Austria,2022,,,,,,373.7,22.0,1.31,0.73,0.56,1.49
40,Austria,2023,,,,,,,22.0,,,,1.42
40,Austria,2024,,,,,,,22.0,,,,
44,Bahamas,2000,,,,,,,,,,,
44,Bahamas,2001,,,,,,,,1.2,1.22,1.02,
44,Bahamas,2002,,,,,,,,1.51,1.19,0.79,
44,Bahamas,2003,,,,,,,,1.35,1.21,0.9,
44,Bahamas,2004,,,,,,,,1.16,1.23,1.06,
44,Bahamas,2005,,,,,,,,1.06,1.24,1.17,
44,Bahamas,2006,,,,,,,1.0,1.17,1.05,0.9,
44,Bahamas,2007,,,,,,,1.0,1.09,1.01,0.92,
44,Bahamas,2008,,,,,,,1.0,1.04,0.96,0.92,
44,Bahamas,2009,,,,,,,1.0,0.91,1.03,1.13,
44,Bahamas,2010,,,,,,,1.0,1.1,0.93,0.85,0.82
44,Bahamas,2011,,,,,,,1.0,1.09,0.81,0.74,-0.48
44,Bahamas,2012,,,,,,,1.0,1.07,0.76,0.71,0.66
44,Bahamas,2013,,,,,,,1.0,0.92,0.83,0.9,-13.42
44,Bahamas,2014,,,,,,,1.0,0.84,0.73,0.87,-0.67
44,Bahamas,2015,,,,,,,1.0,0.81,0.89,1.1,5.75
44,Bahamas,2016,,,,,,,1.0,0.88,1.24,1.41,-0.72
44,Bahamas,2017,,,,,,,1.0,0.78,1.08,1.39,-0.52
44,Bahamas,2018,,,,,,,1.0,0.68,1.17,1.71,-0.1
44,Bahamas,2019,,,,,,,1.0,0.54,1.1,2.05,-0.94
44,Bahamas,2020,,,,,,,1.0,0.83,0.96,1.16,0.8
44,Bahamas,2021,,,,,,,1.0,0.49,0.85,1.74,0.04
44,Bahamas,2022,,,,,,,1.0,0.59,0.92,1.56,2.81
44,Bahamas,2023,,,,,,,1.0,,,,0.09
44,Bahamas,2024,,,,,,,1.0,,,,
48,Bahrain,2000,,,,,,,,,,,
48,Bahrain,2001,,,,,,,,0.63,0.53,0.84,
48,Bahrain,2002,,,,,,,,0.57,0.37,0.65,
48,Bahrain,2003,,,,,,,,0.53,0.52,0.99,
48,Bahrain,2004,,,,,,,,0.39,0.53,1.35,
48,Bahrain,2005,,,,,,,,0.32,0.41,1.27,
48,Bahrain,2006,,,,,,,1.0,0.27,0.36,1.33,
48,Bahrain,2007,,,,,,,1.0,0.29,0.33,1.11,
48,Bahrain,2008,,,,,,,1.0,0.26,0.3,1.11,
48,Bahrain,2009,,,,,,,1.0,0.34,0.37,1.11,
48,Bahrain,2010,,,,,,,1.0,0.3,0.34,1.14,-0.45
48,Bahrain,2011,,,,,,,1.0,0.29,0.33,1.14,-0.08
48,Bahrain,2012,,,,,,,1.0,0.28,0.34,1.23,-0.7
48,Bahrain,2013,,,,,,,1.0,0.27,0.31,1.11,-0.69
48,Bahrain,2014,,,,,,,1.0,0.3,0.28,0.94,-0.36
48,Bahrain,2015,,,,,,,1.0,0.32,0.3,0.95,0.2
48,Bahrain,2016,,,,,,,1.0,0.33,0.25,0.75,-1.22
48,Bahrain,2017,,,,,,,1.0,0.29,0.23,0.79,-0.12
48,Bahrain,2018,,,,,,,1.0,0.29,0.22,0.76,-0.09
48,Bahrain,2019,,,,,,,1.0,0.28,0.25,0.89,0.32
48,Bahrain,2020,,,,,,,1.0,0.31,0.21,0.67,1.54
48,Bahrain,2021,,,,,,,1.0,0.29,0.22,0.75,-0.03
48,Bahrain,2022,,,,,,,1.0,0.27,0.31,1.14,1.31
48,Bahrain,2023,,,,,,,1.0,,,,0.89
48,Bahrain,2024,,,,,,,1.0,,,,
50,Bangladesh,2000,,,,,,,6.0,,,,
50,Bangladesh,2001,,,,,20.5,,6.0,23.28,4.65,0.2,
50,Bangladesh,2002,,,,,19.7,,6.0,21.93,4.19,0.19,
50,Bangladesh,2003,,,,,19.7,,6.0,20.98,3.41,0.16,
50,Bangladesh,2004,,,,,19.2,,10.0,20.18,3.33,0.17,
50,Bangladesh,2005,,,,,19.2,,10.0,19.32,5.39,0.28,
50,Bangladesh,2006,,,,,18.8,,48.0,18.03,5.21,0.29,
50,Bangladesh,2007,,,,,19.1,,48.0,17.73,5.79,0.33,
50,Bangladesh,2008,,,,,18.8,,48.0,17.45,8.81,0.5,
50,Bangladesh,2009,,,,,21.2,,48.0,16.89,8.95,0.53,
50,Bangladesh,2010,1245.4,6627.05,,,22.6,,48.0,16.72,8.96,0.54,15.88
50,Bangladesh,2011,,,,,24.3,,48.0,16.46,8.69,0.53,17.84
50,Bangladesh,2012,,,,,24.1,,48.0,15.77,9.39,0.6,-7.7
50,Bangladesh,2013,,,,,24.1,,48.0,15.04,12.07,0.8,0.44
50,Bangladesh,2014,,,,,23.2,,48.0,14.84,8.61,0.58,0.32
50,Bangladesh,2015,,,,,23.5,35550.8,48.0,14.23,7.82,0.55,-0.22
50,Bangladesh,2016,,,,,22.9,35883.9,48.0,13.46,5.74,0.43,-0.37
50,Bangladesh,2017,,,,,22.2,36214.0,48.0,12.96,7.38,0.57,0.86
50,Bangladesh,2018,,,,,20.9,37038.9,48.0,12.48,7.0,0.56,0.07
50,Bangladesh,2019,,,,,19.7,38301.399999999994,48.0,11.98,6.4,0.53,-0.16
50,Bangladesh,2020,,,,,20.3,38816.0,48.0,12.0,6.09,0.51,0.0
50,Bangladesh,2021,,,,,19.9,38778.0,48.0,11.63,6.7,0.58,-0.36
50,Bangladesh,2022,,,,,20.3,38713.0,48.0,11.22,5.72,0.51,-0.17
50,Bangladesh,2023,,,,,,,48.0,,,,0.62
50,Bangladesh,2024,,,,,,,48.0,,,,
51,Armenia,2000,,,,,,,2.0,,,,
51,Armenia,2001,,,,,0.8,,2.0,24.0,,,
51,Armenia,2002,,,,,0.8,,2.0,22.0,,,
51,Armenia,2003,,,,,0.6,,3.0,20.18,3.77,0.19,
51,Armenia,2004,,,,,0.5,,3.0,21.21,3.74,0.18,
51,Armenia,2005,,,,,0.4,,3.0,17.89,3.74,0.21,
51,Armenia,2006,,,,,0.3,,13.0,17.53,3.87,0.22,
51,Armenia,2007,,,,,0.2,,13.0,17.09,3.82,0.22,
51,Armenia,2008,,,,,0.2,,13.0,15.28,3.44,0.23,
51,Armenia,2009,,,,,0.1,,13.0,15.84,3.84,0.24,
51,Armenia,2010,1527.17,18571.49,,,<0.1,,13.0,15.95,4.17,0.26,-1.6
51,Armenia,2011,,,,,,,13.0,19.07,4.26,0.22,2.79
51,Armenia,2012,,,,,,,13.0,17.91,2.2,0.12,-0.73
51,Armenia,2013,1202.24,18067.04,,,,,13.0,18.43,1.61,0.09,-0.7
51,Armenia,2014,,,,,,,13.0,18.07,1.68,0.09,-0.55
51,Armenia,2015,,,,,,,13.0,17.22,2.44,0.14,-0.75
51,Armenia,2016,,,,,,,13.0,16.39,3.31,0.2,-0.59
51,Armenia,2017,,,,,,394.2,13.0,14.99,2.49,0.17,1.06
51,Armenia,2018,2090.05,25736.03,,,,339.7,13.0,13.94,1.84,0.13,-0.11
51,Armenia,2019,,,,,,,13.0,11.53,2.01,0.17,-0.1
51,Armenia,2020,,,,,,,13.0,11.35,1.75,0.15,-0.27
51,Armenia,2021,,,,,,,13.0,11.34,2.34,0.21,1.68
51,Armenia,2022,,,,,,,13.0,10.36,2.78,0.27,0.91
51,Armenia,2023,,,,,,,13.0,,,,-1.12
51,Armenia,2024,,,,,,,13.0,,,,
52,Barbados,2000,,,,,,,,,,,
52,Barbados,2001,,,,,<0.1,,,2.06,,,
52,Barbados,2002,,,,,<0.1,,,1.83,,,
52,Barbados,2003,,,,,<0.1,,,1.92,2.81,1.46,
52,Barbados,2004,,,,,<0.1,,,1.59,2.58,1.62,
52,Barbados,2005,,,,,<0.1,,,1.54,2.17,1.41,
52,Barbados,2006,,,,,<0.1,,6.0,1.45,2.85,1.96,
52,Barbados,2007,,,,,<0.1,,6.0,1.31,3.22,2.46,
52,Barbados,2008,,,,,<0.1,,6.0,1.18,3.62,3.06,
52,Barbados,2009,,,,,<0.1,,6.0,1.41,1.98,1.41,
52,Barbados,2010,,,,,<0.1,,6.0,1.3,1.72,1.32,0.28
52,Barbados,2011,,,,,,,6.0,1.23,2.83,2.31,1.48
52,Barbados,2012,,,,,,,6.0,1.33,2.36,1.77,-0.55
52,Barbados,2013,,,,,,,6.0,1.42,2.48,1.75,-1.4
52,Barbados,2014,,,,,,,6.0,1.35,4.04,2.99,-0.99
52,Barbados,2015,,,,,,,6.0,1.31,8.86,6.79,1.86
52,Barbados,2016,,,,,,,6.0,1.29,4.82,3.73,2.15
52,Barbados,2017,,,,,<0.1,,6.0,1.3,2.44,1.87,-0.59
52,Barbados,2018,,,,,,,6.0,1.44,5.29,3.68,-1.54
52,Barbados,2019,,,,,<0.1,,6.0,1.3,3.28,2.53,0.12
52,Barbados,2020,,,,,<0.1,,6.0,1.49,2.64,1.77,0.52
52,Barbados,2021,,,,,<0.1,,6.0,1.48,2.14,1.44,-0.39
52,Barbados,2022,,,,,<0.1,,6.0,1.29,1.69,1.3,0.88
52,Barbados,2023,,,,,,,6.0,,,,1.83
52,Barbados,2024,,,,,,,6.0,,,,
56,Belgium,2000,,,,,,,37.0,,,,
56,Belgium,2001,,,,,,,37.0,1.11,0.25,0.23,
56,Belgium,2002,,,,,,,37.0,1.03,0.18,0.17,
56,Belgium,2003,,,,,,,37.0,1.03,0.18,0.18,
56,Belgium,2004,,,,,,,37.0,1.02,0.2,0.2,
56,Belgium,2005,,,,,,,37.0,0.84,0.19,0.23,
56,Belgium,2006,,,,,,,67.0,0.91,0.18,0.2,
56,Belgium,2007,,,,,,,67.0,0.89,0.18,0.21,
56,Belgium,2008,,,,,,,67.0,0.71,0.18,0.25,
56,Belgium,2009,,,,,,,67.0,0.65,0.12,0.18,
56,Belgium,2010,,,98.75,801.83,,,67.0,0.77,0.12,0.16,-2.5
56,Belgium,2011,,,,,,,67.0,0.65,0.09,0.14,-0.96
56,Belgium,2012,,,,,,,68.0,0.78,0.1,0.13,0.3
56,Belgium,2013,,,105.16,952.22,,,68.0,0.68,0.11,0.17,1.39
56,Belgium,2014,,,,,,,68.0,0.64,0.12,0.18,-0.95
56,Belgium,2015,,,,,,,68.0,0.69,0.16,0.23,0.28
56,Belgium,2016,,,117.61,906.08,,,68.0,0.63,0.16,0.26,-0.22
56,Belgium,2017,,,,,,,68.0,0.67,0.16,0.24,-0.7
56,Belgium,2018,,,,,,,68.0,0.6,0.15,0.25,-0.31
56,Belgium,2019,,,,,,354.20000000000005,68.0,0.67,0.14,0.2,-0.5
